id1,s1,id2,s2,related
Shamela0008544-ara1.ms0270,المديني عن يزيد فقال كان ضعيفا وقال الدارقطني مثله وقال ابن حبان كان من خيار عباد الله من البكاءين بالليل لكنه غفل عن حفظ الحديث شغلا بالعبادة حتي كان يقلب كلام الحسن فجعله عن انس عن رسول الله صلي الله عليه وسلم فلا تحل الرواية عنه الا علي جهة التعجب وفي ,Shamela0005830-ara1.completed.ms306,حديثه ليس بشء وقال النساءي متروك الحديث وقال الدراقطني ضعيف وقال ابن حبان كان من خيار عباد الله البكاءين لكنه غفل عن حفظ الحديث شغلا بالعبادة حتي كان يقلب الحسن فيجعله عن انس عن رسول الله صلي الله عليه وسلم فلا تحل الرواية عنه الا علي جهة ,t
Shamela0008544-ara1.ms0270,المديني عن يزيد فقال كان ضعيفا وقال الدارقطني مثله وقال ابن حبان كان من خيار عباد الله من البكاءين بالليل لكنه غفل عن حفظ الحديث شغلا بالعبادة حتي كان يقلب كلام الحسن فجعله عن انس عن رسول الله صلي الله عليه وسلم فلا تحل الرواية عنه الا علي جهة التعجب وفي ,Shia003101Vols-ara1.completed.ms230,الناس كان يدلس عن غياث بن ابراهيم وغيره ويروي ما سمع منهم مما وضعوه علي الثقات عن الثقات الذين راهم فمن هنا وقع في حديثة للموضوعات عن الاثبات لا يحل الاحتجاج بخبره ,f
Shamela0008544-ara1.ms0270,المديني عن يزيد فقال كان ضعيفا وقال الدارقطني مثله وقال ابن حبان كان من خيار عباد الله من البكاءين بالليل لكنه غفل عن حفظ الحديث شغلا بالعبادة حتي كان يقلب كلام الحسن فجعله عن انس عن رسول الله صلي الله عليه وسلم فلا تحل الرواية عنه الا علي جهة التعجب وفي ,Sham19Y0011402-ara1.ms757,التهذيب ج وقال ابن حبان في المجروحين ج وكان ردء الحفظ كثير الوهم لم يكن في الاتقان بالحال الذي يقبل ما انفرد به فلا يجوز الاحتجاج باخباره الا بما وافق فيها الثقات وفي الاصل سماه عبيد الله بن زياد وفي المصادر السابقة ابن ابي زياد وهو الصواب ت ق عبيد الله بن عكراش بن ذءيب بن حرقوص التميمي روي له الترمذي وابن ماجة حديثا واحدا اخنصره ابن ماجة وقال الترمذي غريب تفرد به العلاء ابن الفضل قال عنه ابن حبان في المجروحين ج منكر الحديث جدا ولا ادري المناكير في حديثه وقع من جهته او من العلاء بن الفضل ومن ايهما كان فهو غير محتج به علي الاحوال وانظر تهذيب التهذيب ج الجرح والتعديل ج ق ميزان الاعتدال ج ق عبيد الله بن ابي حميد غالب الهذلي ابو الخطاب البصري عن ابي المليح الهذلي قال ابن حبان في المجروحين ج كان ممن يقلب الاسانيد وياتي بالاشياء التي لا يشك من الحديث صناعته انها مقلوبة فاستحق الترك لما كثر في روايته له عده حديث واثلة في قود الاعرابي اللهم ارحمني ومحمدا انظر الجرح والتعديل ج ق تهذيب التهذيب ,f
Shamela0008544-ara1.ms0270,المديني عن يزيد فقال كان ضعيفا وقال الدارقطني مثله وقال ابن حبان كان من خيار عباد الله من البكاءين بالليل لكنه غفل عن حفظ الحديث شغلا بالعبادة حتي كان يقلب كلام الحسن فجعله عن انس عن رسول الله صلي الله عليه وسلم فلا تحل الرواية عنه الا علي جهة التعجب وفي ,Shamela0096228-ara1.mARkdown.ms329,حديثه ضعف وقال النساءي والحاكم ابو احمد متروك وقال مرة والدارقطني والبرقاني ضعيف وقال ابن حبان كان من خيار عباد الله من البكاءين بالليل لكنه عدل عن حفظ الحديث شغلا بالعبادة حتي كان يقلب كلام الحسن فيجعله عن انس عن رسول الله ,t
Shamela0008544-ara1.ms0270,المديني عن يزيد فقال كان ضعيفا وقال الدارقطني مثله وقال ابن حبان كان من خيار عباد الله من البكاءين بالليل لكنه غفل عن حفظ الحديث شغلا بالعبادة حتي كان يقلب كلام الحسن فجعله عن انس عن رسول الله صلي الله عليه وسلم فلا تحل الرواية عنه الا علي جهة التعجب وفي ,Shia003636Vols-ara1.inProgress.ms09732,ذلك يعقوب ضعيف الحديث عند جميع اصحابنا ابن المديني هو ضعيف ابو داود ضعيف ليس بشء وقال ايضا خارجة اودع كتبه عند غياث بن ابراهيم فافسدها عليه ابن حبان كان يدلس عن غياث بن ابراهيم وغيره ويروي ما يسمع منهم مما وضعوه علي الثقات عن الثقات الذين راهم فمن هنا وقع في حديثه الموضوعات عن الاثبات ,f
Shamela0008544-ara1.ms0270,المديني عن يزيد فقال كان ضعيفا وقال الدارقطني مثله وقال ابن حبان كان من خيار عباد الله من البكاءين بالليل لكنه غفل عن حفظ الحديث شغلا بالعبادة حتي كان يقلب كلام الحسن فجعله عن انس عن رسول الله صلي الله عليه وسلم فلا تحل الرواية عنه الا علي جهة التعجب وفي ,Shamela0012317-ara1.completed.ms1150,والعراقيون قال ابو حاتم ابن حبان وكان من خيار عباد الله من البكاءين بالليل في الخلوات والقاءمين بالحقاءق في السيرات ممن غفل عن صناعة الحديث وحفظها واشتغل بالعبادة واسبابها حتي كان يقلب كلام الحسن فيجعله عن انس عن النبي صلي الله عليه وسلم وهو لا يعلم فلما كثر في روايته ما ليس في حديث انس وغيره من الثقات بطل الاحتجاج به فلا يحل الرواية عنه الا علي جهة التعجب ,t
Shamela0008544-ara1.ms0270,المديني عن يزيد فقال كان ضعيفا وقال الدارقطني مثله وقال ابن حبان كان من خيار عباد الله من البكاءين بالليل لكنه غفل عن حفظ الحديث شغلا بالعبادة حتي كان يقلب كلام الحسن فجعله عن انس عن رسول الله صلي الله عليه وسلم فلا تحل الرواية عنه الا علي جهة التعجب وفي ,Shamela0012317-ara1.completed.ms1618,كان يدلس عن غياث بن ابراهيم وغيره ويروي ما سمع منهم مما وضعوه علي الثقات عن الثقات الذين راهم فمن هاهنا وقع في حديثه الموضوعات عن الاثبات لا يحل الاحتجاج بخبره ,f
Shamela0008544-ara1.ms0270,المديني عن يزيد فقال كان ضعيفا وقال الدارقطني مثله وقال ابن حبان كان من خيار عباد الله من البكاءين بالليل لكنه غفل عن حفظ الحديث شغلا بالعبادة حتي كان يقلب كلام الحسن فجعله عن انس عن رسول الله صلي الله عليه وسلم فلا تحل الرواية عنه الا علي جهة التعجب وفي ,Sham19Y0011402-ara1.ms791,ان اروي عن يزيد وقال ايضا لان ازني احب الي من ان احدث عن يزيد الرقاشي وقال ابن حبان في المجروحين كان من خيار عباد الله من البكاءين بالليل لكنه غفل عن حفظ الحديث شغلا بالعبادة حتي كان يقلب كلام الحسن فيجعله عن انس عن النبي صلي الله عليه وسلم فلا تحل الرواية عنه الا علي جهة التعجب توفي ما بين ه وانظر الجرح والتعديل ج ق تهذيب التهذيب ,t
Shamela0008544-ara1.ms0270,المديني عن يزيد فقال كان ضعيفا وقال الدارقطني مثله وقال ابن حبان كان من خيار عباد الله من البكاءين بالليل لكنه غفل عن حفظ الحديث شغلا بالعبادة حتي كان يقلب كلام الحسن فجعله عن انس عن رسول الله صلي الله عليه وسلم فلا تحل الرواية عنه الا علي جهة التعجب وفي ,Sham19Y0011402-ara1.ms634,التهذيب ج وقال ابن حبان في المجروحين ج منكر الحديث جدا يروي عن ابيه عن جده بنسخة موضوعة لا يحل ذكرها في الكتب ولا الرواية عنه الا علي جهة التعجب واكتفي ابن الجوزي في اسماء الضعفاء بقوله واهي الحديث عخ ن دت ق عبد الله بن عمرو بن عوف بن زيد المزني المدني روي عن ابيه ,f
Shamela0008544-ara1.ms0270,المديني عن يزيد فقال كان ضعيفا وقال الدارقطني مثله وقال ابن حبان كان من خيار عباد الله من البكاءين بالليل لكنه غفل عن حفظ الحديث شغلا بالعبادة حتي كان يقلب كلام الحسن فجعله عن انس عن رسول الله صلي الله عليه وسلم فلا تحل الرواية عنه الا علي جهة التعجب وفي ,JK000134-ara1.mARkdown.ms0769,ذلك وقال يعقوب وهو ضعيف الحديث عند جميع اصحابنا ووهاه الفضل بن موسي السيناني وقال بن المديني هو عندنا ضعيف وقال الاجري عن ابي داود ضعيف وقال مرة ليس بشء وقال ايضا عنه خارجة اودع كتبه عند غياث بن ابراهيم فافسدها عليه وقال بن حبان كان يدلس عن غياث بن ابراهيم وغيره ويروي ما يسمع منهم مما وضعوه علي الثقات عن الثقات الذين راهم فمن هنا وقع في حديثه الموضوعات عن الاثبات لا يجوز الاحتجاج بخبره وذكره بن الجارود ,f
