,word,count
0,فما عدا,23
1,مما بدا,22
2,عدا مما,20
3,,19
4,بالحجاز وانكرتني,19
5,يقول لك,19
6,وانكرتني بالعراق,19
7,له يقول,18
8,وقل له,18
9,عرفتني بالحجاز,18
10,بالعراق فما,18
11,لك ابن,16
12,ابن خالك,15
13,خالك عرفتني,15
14,كالثور عاقصا,14
15,السلام وقل,13
16,الله بن,12
17,وانفراد واحد,11
18,واحد وام,11
19,ودم خليفة,10
20,عبد الله,10
21,ولا تات,10
22,ان تلقه,10
23,وام مبرورة,10
24,عليه السلام,10
25,عهد خليفة,10
26,تات طلحة,10
27,خليفة ودم,10
28,خليفة واجتماع,10
29,الزبير ولا,10
30,بيننا وبينك,9
31,له بيننا,9
32,فانك ان,9
33,تلقه تجده,9
34,ثلاثة وانفراد,9
35,عاقصا قرنه,9
36,قرنه يركب,9
37,واجتماع ثلاثة,9
38,ابن عباس,9
39,ونشر المصاحف,8
40,علي بن,8
41,ونحرم ما,8
42,وبينك عهد,8
43,الزبير الين,8
44,يركب الصعوبة,8
45,يركب الصعب,8
46,لا تلقين,8
47,الذلول ولكن,8
48,مبرورة ومشاورة,8
49,بدا قال,8
50,الين عريكة,8
51,فانه الين,8
52,الزبير فانه,8
53,الق الزبير,8
54,ولكن الق,8
55,طلحة فان,8
56,الصعب ويقول,8
57,فان الزبير,8
58,تجده كالثور,8
59,طلحة فانك,8
60,تلقين طلحة,8
61,ويقول هي,8
62,ابي طالب,7
63,الصعوبة ويقول,7
64,بن ابي,7
65,الي الزبير,7
66,هي اسهل,7
67,احلت ونحرم,7
68,بن عباس,7
69,ويقول هو,7
70,هو الذلول,7
71,ما احلت,7
72,ما حرمت,7
73,قال ابن,6
74,طلحة كالثور,6
75,قل له,6
76,البصرة قال,6
77,ومشاورة العشيرة,6
78,العشيرة ونشر,6
79,رضي الله,5
80,تجد طلحة,5
81,عريكة فقل,5
82,فقل له,5
83,ارسل علي,5
84,مني السلام,5
85,قدم البصرة,5
86,لعبد الله,5
87,اول من,5
88,له لا,4
89,قال لعبد,4
90,نحل ما,4
91,اءت الزبير,4
92,بدا لك,4
93,المصاحف نحل,4
94,الي طاعته,4
95,اسهل فاقرءه,4
96,فنحل ما,4
97,بقرنه يركب,4
98,فقال الزبير,4
99,المصاحف فنحل,4
100,منه هذه,3
101,هذه الكلمة,3
102,الكلمة اعني,3
103,سمعت منه,3
104,اعني فما,3
105,البصرة فقال,3
106,من سمعت,3
107,قال له,3
108,ومن كلام,3
109,رحمه الله,3
110,كلام له,3
111,عباس فاتيته,3
112,عاقصا بقرنه,3
113,لما قدم,3
114,قال لابن,3
115,بن العباس,3
116,لابن عباس,3
117,له عليه,3
118,فقال قل,3
119,فاقرءه السلام,3
120,تفسير الطبري,3
121,الين وانك,3
122,كل ذلك,3
123,جءت ام,3
124,ازاءرا جءت,3
125,لبابة ازاءرا,3
126,فقال مرحبا,3
127,وانك تجد,3
128,ايت الزبير,3
129,ابلغه السلام,3
130,قدم علي,3
131,فقال ايت,3
132,علي عليه,3
133,عباس اءت,3
134,زال الزبير,3
135,ما زال,3
136,ذلك وابلغته,3
137,ام سفيرا,3
138,قال علي,3
139,الله عنه,3
140,نهج البلاغة,3
141,قرناه علي,2
142,قد التوي,2
143,اي قد,2
144,ابنه عبد,2
145,غوغاءهم فقال,2
146,عباس فقال,2
147,فلفته عنا,2
148,الله فلفته,2
149,اي تجده,2
150,الي طلحة,2
151,طلحة والزبير,2
152,حتي ادرك,2
153,الين وانت,2
154,وانت تجد,2
155,الله عنهما,2
156,حرمت فلما,2
157,ما بدا,2
158,سفيرا قلت,2
159,علي اذنيه,2
160,اسهل فاقراه,2
161,فلما كان,2
162,الغد حرش,2
163,منا حتي,2
164,قلت كل,2
165,فقال علي,2
166,فاتيته فقال,2
167,حرش بين,2
168,بين الناس,2
169,الناس غوغاءهم,2
170,بابن لبابة,2
171,مرحبا بابن,2
172,التوي قرناه,2
173,عدا ما,2
174,عاقصا انفه,2
175,العباس لما,2
176,السلام واعرضوا,2
177,المذكور هذا,2
178,علي البصرة,2
179,المعلم المذكور,2
180,بدا فلما,2
181,برسالة يكفهما,2
182,يكفهما عن,2
183,ابن المعلم,2
184,عن الشروع,2
185,الشروع في,2
186,فاخذ ابن,2
187,الكلمة فاخذ,2
188,بهذه الكلمة,2
189,نطق بهذه,2
190,من نطق,2
191,في القتال,2
192,بدا وعلي,2
193,منه وقل,2
194,عريكة منه,2
195,القتال ثم,2
196,ثم قال,2
197,انفه يركب,2
198,وقال منحوه,2
199,واعرضوا بالغور,2
200,فاقرءه مني,2
201,بالغور عنه,2
202,في رواية,2
203,الزبير يستفيءه,2
204,يستفيءه الي,2
205,طاعته قبل,2
206,طالب عليه,2
207,قبل حرب,2
208,وانما طلحة,2
209,منه وانما,2
210,الين منه,2
211,ولما قدم,2
212,حرب الجمل,2
213,الجمل لا,2
214,كتاب نهج,2
215,هو اول,2
216,طويلة ورسالة,2
217,جملة قصيدة,2
218,من جملة,2
219,البيت من,2
220,ع الي,2
221,الي البصرة,2
222,عنه فما,2
223,قصيدة طويلة,2
224,اي يسترجعه,2
225,له عهد,2
226,من قال,2
227,السلام لما,2
228,لك قال,2
229,السلام اول,2
230,قال فاتيت,2
231,فاتيت الزبير,2
232,الزبير فقال,2
233,وشط مزارهم,2
234,شحطوا وشط,2
235,اذ شحطوا,2
236,عباس الي,2
237,فوددت اذ,2
238,وابلغته ما,2
239,ليستفيءه الي,2
240,خالد المخزومي,2
241,الزبير ابلغه,2
242,علي فقال,2
243,بن خالد,2
244,ما قال,2
245,الحارث بن,2
246,مصعب قال,2
247,عباس لما,2
248,فقال له,2
249,ظهر واول,2
250,عني مما,2
251,الرسالة فقال,2
252,لك مني,2
253,الله عبد,2
254,واول من,2
255,طالب رحمه,2
256,قال ارسل,2
257,بن مصعب,2
258,علي نشدتك,1
259,بالجذع السلام,1
260,بدا وهذا,1
261,وهذا البيت,1
262,ابن عساكر,1
263,عساكر يقول,1
264,الله الست,1
265,لك علي,1
266,ورسالة نقلها,1
267,نشدتك الله,1
268,ما احللت,1
269,نقلها في,1
270,رواية ابن,1
271,عاطفا قد,1
272,تجده و,1
273,و في,1
274,رواية ان,1
275,ان تلفه,1
276,تلفه تلفه,1
277,تلفه بالفاء,1
278,بالفاء اي,1
279,ارسله الي,1
280,تجده عاقصا,1
281,عاقصا اي,1
282,اي عاطفا,1
283,ثم ارسل,1
284,وفي رواية,1
285,علي ابن,1
286,الزبير خاصة,1
287,لما ارسله,1
288,خاصة وقال,1
289,لابن العباس,1
290,السلام لابن,1
291,البلاغة وله,1
292,في كتاب,1
293,الست بايعتني,1
294,وقال له,1
295,بدا وفي,1
296,منحوه بالجذع,1
297,عنهما الي,1
298,بايعتني طاءعا,1
299,علي ان,1
300,قال قل,1
301,له انا,1
302,انا مع,1
303,مع الخوف,1
304,الخوف الشديد,1
305,الشديد لنطمع,1
306,لنطمع وقال,1
307,ابن عمه,1
308,عنه ابن,1
309,وقال لي,1
310,لي ابنه,1
311,الله قل,1
312,وبينك دم,1
313,دم خليفة,1
314,طالب رضي,1
315,خليفة ووصية,1
316,ووصية خليفة,1
317,واجتماع اثنين,1
318,اثنين وانفراد,1
319,ان قال,1
320,يزدني علي,1
321,الكامل وقال,1
322,لم يزدني,1
323,هذا الكامل,1
324,وعلي عليه,1
325,والزبير برسالة,1
326,طاءعا غير,1
327,غير مكره,1
328,مكره فما,1
329,فما الذي,1
330,الذي احدثت,1
331,احدثت فاستحللت,1
332,يستفيءه اي,1
333,فاستحللت به,1
334,به قتالي,1
335,قتالي قال,1
336,عباس قلت,1
337,العباس رضي,1
338,قلت الكلمة,1
339,الكلمة للزبير,1
340,عمه عبد,1
341,للزبير لم,1
342,يسترجعه ان,1
343,معه ع,1
344,بيان يستفيءه,1
345,وام مبرور,1
346,ما احرمت,1
347,فيما بدا,1
348,عدا فيما,1
349,ان عرفتني,1
350,لك ان,1
351,الصعوبة فاقرءه,1
352,كالنوار عاقصا,1
353,ابلغه وقل,1
354,خليفة وانفراد,1
355,طلحة كالنوار,1
356,مرحبا يا,1
357,مبرور ومشاورة,1
358,ومشاورة عشيرة,1
359,ات الزبير,1
360,عباس ات,1
361,عشيرة ونشر,1
362,حرمت وقال,1
363,بعث ابن,1
364,البصرة بعث,1
365,علي ع,1
366,احرمت فقال,1
367,فقلت كل,1
368,علي ما,1
369,الزبير رجلا,1
370,ومشاورة العشرة,1
371,فابلغته فقال,1
372,فاتيته فابلغته,1
373,احللت ونحرم,1
374,فقال اءت,1
375,ما كنت,1
376,ادرك ابنه,1
377,رجل منا,1
378,الزبير رجل,1
379,السلام ما,1
380,حرمت فقال,1
381,مبرورة العشيرة,1
382,فبلغته فقال,1
383,فاتيته فبلغته,1
384,فاقراه مني,1
385,فاقراه السلام,1
386,الجمعة ولما,1
387,سفيرا فقلت,1
388,رجلا منا,1
389,صار علي,1
390,يا ابن,1
391,بدا بيان,1
392,الله ابلغه,1
393,البصرة وشهد,1
394,طالب الي,1
395,الزبير يساله,1
396,يساله ويقول,1
397,ويقول له,1
398,بالعراق فماعدا,1
399,فماعدا مما,1
400,لك فقال,1
401,الزبير لعبد,1
402,العشرة ونشر,1
403,ابن لبابة,1
404,السلام قال,1
405,عباس معه,1
406,لما انفذه,1
407,اقول هو,1
408,بدا اقول,1
409,انفذه الي,1
410,قال السيد,1
411,السيد رضي,1
412,عنه هو,1
413,وشهد معه,1
414,ارسله علي,1
415,معه وقعة,1
416,وقعة الجمل,1
417,كان من,1
418,من الغد,1
419,السلام حين,1
420,حين انفذ,1
421,انفذ الي,1
422,والزبير فقال,1
423,فقال لرسوله,1
424,لرسوله لا,1
425,عاقصا قرنيه,1
426,قرنيه يركب,1
427,ولما صار,1
428,هي الذلول,1
429,عريكة وقل,1
430,الجمل ولما,1
431,ابن عمك,1
432,عمك عرفتني,1
433,طالب البصرة,1
434,عباس رضي,1
435,عنهما ارسله,1
436,كنت اري,1
437,ما صرفك,1
438,الزبير ما,1
439,كان الغد,1
440,الرواية الحارث,1
441,بهذه الرواية,1
442,سلف بهذه,1
443,وقد سلف,1
444,عناني وقد,1
445,وروايته عناني,1
446,عنا وروايته,1
447,اللسان عنا,1
448,في اللسان,1
449,عزو في,1
450,بلا عزو,1
451,ك بلا,1
452,من ك,1
453,الاقوال من,1
454,شرح الاقوال,1
455,في شرح,1
456,بكر في,1
457,ابو بكر,1
458,قال ابو,1
459,عبارة قال,1
460,الناسخ عبارة,1
461,اسقط الناسخ,1
462,هنا اسقط,1
463,من هنا,1
464,الامثال من,1
465,المخزومي شعره,1
466,شعره ينظر,1
467,ينظر البيان,1
468,بدا فابلغه,1
469,يوم الجمل,1
470,الحرب يوم,1
471,وقوع الحرب,1
472,قبل وقوع,1
473,الزبير قبل,1
474,انفذ عبد,1
475,لما انفذ,1
476,اقرءه مني,1
477,له اقرءه,1
478,عباس الرسالة,1
479,فابلغه ابن,1
480,لك عرفتني,1
481,البيان والتبين,1
482,عليه مني,1
483,واقرا عليه,1
484,طلحة واقرا,1
485,امض الي,1
486,عباس امض,1
487,البلاغة قدم,1
488,في نهج,1
489,علي في,1
490,الامام علي,1
491,وكلام الامام,1
492,والتبين وكلام,1
493,مجمع الامثال,1
494,الفاخر مجمع,1
495,القران الفاخر,1
496,قال الشاعر,1
497,صرفني وقال,1
498,يريد صرفني,1
499,هيم يريد,1
500,الابطال هيم,1
501,صلاتها الابطال,1
502,كان صلاتها,1
503,حرب كان,1
504,والانصاب حرب,1
505,عنك والانصاب,1
506,عداني عنك,1
507,الشاعر عداني,1
508,عنه قال,1
509,الاخر فوددت,1
510,صرفني عنه,1
511,اي صرفني,1
512,وكذا اي,1
513,كذا وكذا,1
514,لقاءك كذا,1
515,عن لقاءك,1
516,عداني عن,1
517,يقال عداني,1
518,مني يقال,1
519,ظهر لك,1
520,مما ظهر,1
521,وقال الاخر,1
522,مزارهم وعدت,1
523,مجاز القران,1
524,بن طالب,1
525,الطبري مجاز,1
526,فباعوهما تفسير,1
527,ك فباعوهما,1
528,الطبري ك,1
529,الطبري تفسير,1
530,يوسف تفسير,1
531,لما يوسف,1
532,انه لما,1
533,وذلك انه,1
534,رض وذلك,1
535,طالب رض,1
536,بدا علي,1
537,وعدت عواد,1
538,ما عدا,1
539,قال ما,1
540,بدا ظهر,1
541,ومعني بدا,1
542,صوارف ومعني,1
543,وصرفت صوارف,1
544,يريد وصرفت,1
545,تشغل يريد,1
546,ذلك تشغل,1
547,دون ذلك,1
548,عواد دون,1
549,الجمل ليستفيءه,1
550,طاعته الاصل,1
551,الاصل لا,1
552,منحوه بالجزع,1
553,السلام البصرة,1
554,الصديق ولما,1
555,البلاغة ولا,1
556,من كتاب,1
557,نقلتها من,1
558,علي نقلتها,1
559,ورسالة علي,1
560,صرفك عني,1
561,هذا البيت,1
562,بدا هذا,1
563,بالجزع السلام,1
564,الكلام وقال,1
565,وطلحة كالثور,1
566,هذا الكلام,1
567,عنه اول,1
568,وعلي رضي,1
569,سلامي وقل,1
570,بلغه سلامي,1
571,فلما بلغه,1
572,مملا بدا,1
573,عدا مملا,1
574,اعرفتني بالحجاز,1
575,ويقول اعرفتني,1
576,السلام ويقول,1
577,الين وطلحة,1
578,كالثور عاقص,1
579,يقرا عليك,1
580,الزبير منا,1
581,فقال ابلغه,1
582,وابلغته الرسالة,1
583,قال فاتيته,1
584,فاقره السلام,1
585,اسهل فاقره,1
586,السلام عبد,1
587,ولده عبد,1
588,ادرك ولده,1
589,البيت حتي,1
590,اهل البيت,1
591,منا اهل,1
592,وجهه ما,1
593,عاقص بقرنه,1
594,الله وجهه,1
595,كرم الله,1
596,علي كرم,1
597,حرمت قال,1
598,الزبير قل,1
599,له الزبير,1
600,علي قال,1
601,مقالة علي,1
602,عباس مقالة,1
603,ابلغه ابن,1
604,فلما ابلغه,1
605,عليك السلام,1
606,فقل يقرا,1
607,قال الرضي,1
608,الفء للظل,1
609,كذا اي,1
610,علي كذا,1
611,الفيته علي,1
612,تجده الفيته,1
613,تلفه اي,1
614,تلقه تلفه,1
615,رواية فانك,1
616,وجاء في,1
617,الزوال وجاء,1
618,بعد الزوال,1
619,للظل بعد,1
620,سمي الفء,1
621,وجدته وعاقصا,1
622,ومنه سمي,1
623,رجع ومنه,1
624,اي رجع,1
625,فاء اي,1
626,يسترجعه فاء,1
627,طاعته اي,1
628,الشرح ليستفيءه,1
629,بدا الشرح,1
630,وهو عليه,1
631,الله وهو,1
632,الرضي رحمه,1
633,اي وجدته,1
634,وعاقصا قرنه,1
635,طلحة فقل,1
636,مزارهم وعدتهم,1
637,صر الي,1
638,العباس صر,1
639,المءمنين علي,1
640,امير المءمنين,1
641,ذلك امير,1
642,قال ذلك,1
643,وبدا ظهر,1
644,تشغل وبدا,1
645,عواد تشغل,1
646,عنا عواد,1
647,وعدتهم عنا,1
648,المخزومي فوددت,1
649,قرنه اي,1
650,قال الحارث,1
651,صرفك قال,1
652,عداك صرفك,1
653,ومعني عداك,1
654,مني ومعني,1
655,عداك عني,1
656,ما عداك,1
657,اعقص اي,1
658,تيس اعقص,1
659,عطفه تيس,1
660,قد عطفه,1
661,ومشاورة العامة,1
